threshold,mean_lead_time_days,median_lead_time_days,std_lead_time_days,false_early_warning_rate,n_flagged,n_confirmed_detected,day10_detection_rate,model
0.4599999999999999,,,0.0,0.0,0,0,,a2_ms_only
0.4699999999999999,,,0.0,0.0,0,0,,a2_ms_only
0.4799999999999999,,,0.0,0.0,0,0,,a2_ms_only
0.48999999999999994,,,0.0,0.0,0,0,,a2_ms_only
0.49999999999999994,,,0.0,0.0,0,0,,a2_ms_only
0.5099999999999999,,,0.0,0.0,0,0,,a2_ms_only
0.5199999999999999,,,0.0,0.0,0,0,,a2_ms_only
0.5299999999999999,,,0.0,0.0,0,0,,a2_ms_only
0.5399999999999999,,,0.0,0.0,0,0,,a2_ms_only
0.5499999999999999,,,0.0,0.0,0,0,,a2_ms_only
0.5599999999999999,,,0.0,0.0,0,0,,a2_ms_only
0.57,,,0.0,0.0,0,0,,a2_ms_only
0.58,,,0.0,0.0,0,0,,a2_ms_only
0.59,,,0.0,0.0,0,0,,a2_ms_only
0.6,,,0.0,0.0,0,0,,a2_ms_only
0.61,,,0.0,0.0,0,0,,a2_ms_only
0.62,,,0.0,0.0,0,0,,a2_ms_only
0.63,,,0.0,0.0,0,0,,a2_ms_only
0.6399999999999999,,,0.0,0.0,0,0,,a2_ms_only
0.6499999999999999,,,0.0,0.0,0,0,,a2_ms_only
0.6599999999999999,,,0.0,0.0,0,0,,a2_ms_only
0.6699999999999999,,,0.0,0.0,0,0,,a2_ms_only
0.6799999999999999,,,0.0,0.0,0,0,,a2_ms_only
0.69,,,0.0,0.0,0,0,,a2_ms_only
0.7,,,0.0,0.0,0,0,,a2_ms_only
0.71,,,0.0,0.0,0,0,,a2_ms_only
0.72,,,0.0,0.0,0,0,,a2_ms_only
0.73,,,0.0,0.0,0,0,,a2_ms_only
0.74,,,0.0,0.0,0,0,,a2_ms_only
0.7499999999999999,,,0.0,0.0,0,0,,a2_ms_only
0.7599999999999999,,,0.0,0.0,0,0,,a2_ms_only
0.7699999999999999,,,0.0,0.0,0,0,,a2_ms_only
0.7799999999999999,,,0.0,0.0,0,0,,a2_ms_only
0.7899999999999999,,,0.0,0.0,0,0,,a2_ms_only
0.7999999999999999,,,0.0,0.0,0,0,,a2_ms_only
0.8099999999999999,,,0.0,0.0,0,0,,a2_ms_only
0.82,,,0.0,0.0,0,0,,a2_ms_only
0.83,,,0.0,0.0,0,0,,a2_ms_only
0.84,,,0.0,0.0,0,0,,a2_ms_only
0.8499999999999999,,,0.0,0.0,0,0,,a2_ms_only
0.8599999999999999,,,0.0,0.0,0,0,,a2_ms_only
0.8699999999999999,,,0.0,0.0,0,0,,a2_ms_only
0.8799999999999999,,,0.0,0.0,0,0,,a2_ms_only
0.8899999999999999,,,0.0,0.0,0,0,,a2_ms_only
0.8999999999999999,,,0.0,0.0,0,0,,a2_ms_only
0.9099999999999999,,,0.0,0.0,0,0,,a2_ms_only
0.9199999999999999,,,0.0,0.0,0,0,,a2_ms_only
0.9299999999999999,,,0.0,0.0,0,0,,a2_ms_only
0.94,,,0.0,0.0,0,0,,a2_ms_only
0.95,,,0.0,0.0,0,0,,a2_ms_only
